GallupID,Name,CBSID,Abbrev,PLstID,estuse.18.25.2011.12,estuse.26.older.2011.12,arrest.rate.2012,med2001,med2003,med2009,med2010,med2011,med2012,med2013,med2014,med2015,med2016,med2017,leg2013,leg2014,leg2015,leg2016,leg2017,use201415,use201314,use201312,use201211,use201110,use201009,use200908,use200807,use200706,use200605,use200504,use200403,use200302
11,Maine,20,ME,18,0.36,0.11,240.9,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0.139832,0.129143,0.100082,0.083241,0.079454,0.098469,0.099443,0.080671,0.081989,0.089653,0.081579,0.078939,0.076621
12,New Hampshire,30,NH,28,0.42,0.1,269.02,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0.123054,0.116647,0.098031,0.082467,0.083936,0.098082,0.096108,0.089916,0.081996,0.076572,0.074801,0.084953,0.100488
13,Vermont,46,VT,44,0.47,0.14,147.92,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0.150801,0.134012,0.117955,0.128181,0.130338,0.116601,0.109558,0.100911,0.099469,0.098312,0.088821,0.087574,0.093671
14,Massachusetts,22,MA,20,0.41,0.11,39.06,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0.119083,0.120134,0.099927,0.092483,0.098295,0.100922,0.087011,0.069661,0.078378,0.079648,0.073657,0.08538,0.075152
15,Rhode Island,40,RI,38,0.46,0.14,220.89,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0.132805,0.12942,0.141833,0.130494,0.120141,0.109132,0.101314,0.110324,0.105117,0.09293,0.087128,0.089498,0.094291
16,Connecticut,7,CT,6,0.39,0.09,104.36,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0.097221,0.085585,0.089919,0.084051,0.071059,0.075631,0.071418,0.063271,0.060741,0.07514,0.074371,0.068779,0.066783
21,New York,33,NY,31,0.35,0.1,577.24,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.097454,0.085956,0.082998,0.082796,0.073306,0.076617,0.076455,0.068504,0.069093,0.070548,0.071402,0.073188,0.071798
22,New Jersey,31,NJ,29,0.34,0.07,313.47,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0.070252,0.062942,0.051928,0.059616,0.062321,0.055004,0.049194,0.047578,0.045811,0.050862,0.049675,0.047836,0.047927
23,Pennsylvania,39,PA,37,0.32,0.07,206.02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.078005,0.073078,0.064222,0.06112,0.060191,0.060445,0.056713,0.049872,0.051928,0.058873,0.060209,0.058271,0.053609
24,Maryland,21,MD,19,0.33,0.06,374.59,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.096645,0.086053,0.06886,0.056352,0.054919,0.060093,0.05507,0.053077,0.049008,0.046717,0.048825,0.053108,0.0547
25,Delaware,8,DE,7,0.39,0.1,317.53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.081095,0.082263,0.078567,0.072805,0.068829,0.068245,0.069148,0.07099,0.062003,0.057715,0.060742,0.061219,0.066103
